date,time,rank,match,pick,side,line,odds,bookmaker,result,total_games,final_score,profit,stake,jakob_score,confidence,quality_score,edge_percent,market_gap,tournament,event_type
2026-06-05,15:00,2,N. Sanchez Izquierdo - L. Midon,OVER 22.5 games,over,22.5,2.07,Pncl,win,31,"6-7, 6-3, 6-3",0.802,0.75,78.28575665,85.3,83.1,13.69,0.0619,Prostejov,Challenger Men Singles
2026-06-05,14:00,1,C. Paquet - D. Astakhova,OVER 22.5 games,over,22.5,2.15,10Bet,loss,21,"5-7, 3-6",-0.75,0.75,84.80836584,89.4,84.6,15.49,0.0466,Foggia (Italy),Challenger Women Singles
2026-06-05,12:00,4,N. Makhlouf - B. Willwerth,UNDER 18.5 games,under,18.5,2.2,Betfair,win,18,"0-6, 5-7",0.9,0.75,73.15447338,76.4,74.7,11.55,0.6584,M15 Monastir 21,Itf Men Singles
2026-06-05,11:30,7,T. Preston - A. Krueger,UNDER 20.5 games,under,20.5,2.0,Betfair,loss,27,"6-2, 3-6, 4-6",-0.75,0.75,70.12557742,91.1,82.6,7.0,0.4102,Birmingham,Challenger Women Singles
2026-06-05,11:30,3,F. Romano - O. Virtanen,UNDER 21.5 games,under,21.5,2.14,Pncl,win,20,"4-6, 4-6",0.855,0.75,76.96647533,88.9,86.3,10.27,0.6083,Birmingham,Challenger Men Singles
2026-06-04,15:30,4,H. Barton - N. Gombos,UNDER 20.5 games,under,20.5,2.2,Pncl,win,19,"6-3, 6-4",0.9,0.75,75.88070571,84.3,83.5,11.55,0.4914,Prostejov,Challenger Men Singles
2026-06-04,13:30,1,M. Trungelliti - Y. H. Hsu,UNDER 19.5 games,under,19.5,2.1,Pncl,loss,23,"3-6, 6-1, 6-1",-0.75,0.75,77.59856598,88.9,83.0,9.38,0.6752,Heilbronn,Challenger Men Singles
2026-06-04,13:00,7,C. Monnet - T. Prozorova,UNDER 19.5 games,under,19.5,2.16,Pncl,loss,26,"1-6, 6-4, 6-3",-0.75,0.75,71.53617539,86.9,87.7,10.7,0.3667,Foggia (Italy),Challenger Women Singles
2026-06-04,13:00,3,A. Eala - A. Charaeva,UNDER 19.5 games,under,19.5,2.16,Pncl,loss,20,"6-2, 7-5",-0.75,0.75,76.37199813,88.5,91.0,10.7,0.4528,Birmingham,Challenger Women Singles
2026-06-04,12:30,8,R. Sramkova - T. Wuerth,UNDER 19.5 games,under,19.5,2.1,Pncl,void,,,0.0,0.75,70.29115523,76.8,76.8,9.38,0.5333,Makarska,Challenger Women Singles
2026-06-04,11:30,2,R. Strombachs - P. Henning,UNDER 20.5 games,under,20.5,2.12,Superbet,win,17,"2-6, 3-6",0.84,0.75,77.00142655,89.7,87.6,9.83,0.4213,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-06-04,11:00,6,V. Sachko - V. Kopriva,UNDER 20.5 games,under,20.5,2.0,Betfair,loss,30,"6-1, 4-6, 7-6",-0.75,0.75,71.89021906,88.2,80.2,7.0,0.5358,Prostejov,Challenger Men Singles
2026-06-04,10:00,5,R. Guna - G. Ghetu,UNDER 19.5 games,under,19.5,2.11,Pncl,loss,35,"7-6, 6-7, 6-3",-0.75,0.75,72.27813921,86.5,78.6,9.61,0.5463,M25 Bistrita (Romania),Itf Men Singles
2026-06-03,14:30,4,T. Pieri - S. Costoulas,UNDER 18.5 games,under,18.5,2.06,Pncl,void,,,0.0,0.75,75.96229428,81.6,77.6,8.46,0.6447,Foggia (Italy),Challenger Women Singles
2026-06-03,14:00,1,P. Boscardin Dias - M. Mrva,OVER 22.5 games,over,22.5,2.15,Superbet,loss,20,"4-6, 4-6",-0.75,0.75,80.56554003,94.8,86.4,15.49,0.1381,Prostejov,Challenger Men Singles
2026-06-03,13:30,7,K. Deichmann - A. Mazzola,OVER 22.0 games,over,22.0,2.05,1xBet,loss,19,"6-7, 0-6",-0.75,0.75,72.76060838,82.6,78.7,13.14,0.0059,W75 Caserta,Itf Women Singles
2026-06-03,12:30,9,A. Sabalenka - D. Shnaider,UNDER 19.0 games,under,19.0,2.1,Pncl,loss,27,"6-3, 5-7, 0-6",-0.75,0.75,71.17053751,82.1,75.4,9.38,0.7285,French Open,Wta Singles
2026-06-03,12:30,5,S. Baez - T. Boyer,UNDER 20.5 games,under,20.5,2.03,Pncl,win,18,"6-2, 6-4",0.772,0.75,73.86723419,90.9,82.6,7.74,0.4767,Prostejov,Challenger Men Singles
2026-06-03,11:30,3,M. Topo - E. Nava,UNDER 20.5 games,under,20.5,2.2,Pncl,win,19,"3-6, 4-6",0.9,0.75,76.28834514,86.9,85.9,11.55,0.5398,Heilbronn,Challenger Men Singles
2026-06-03,11:30,2,A. Krueger - H. Sakatsume,UNDER 20.5 games,under,20.5,2.0,Betfair,win,19,"6-4, 6-3",0.75,0.75,76.82881663,92.5,82.5,7.0,0.4707,Birmingham,Challenger Women Singles
2026-06-03,10:30,8,M. Hageman - M. Masiianskaia,UNDER 19.5 games,under,19.5,2.01,Pncl,loss,22,"6-4, 7-5",-0.75,0.75,71.65072888,88.5,76.6,7.25,0.5497,W15 Kursumlijska Banja 3,Itf Women Singles
